的	白勹丶
肩	户月
魂	二厶鬼
闹	门亠巾
蒙	艹冖一豕
洗	氵⺧儿
灯	火丁
借	亻龷日
伯	亻白
免	⺈口儿
菜	艹爪木
验	马人一{兴上}
凤	几又
鱼	鱼
徐	彳人一朩
型	一廾刂土
娜	女乙{奉下}阝
暴	日龷八水
亡	亡
媽	女馬
親	立朩見
讨	讠寸
辈	非车
懂	忄艹千里
腿	月艮辶
灭	一火
妙	女小丿
效	亠八乂夊
危	⺈厂㔾
优	亻尤
盘	舟皿
套	大镸
丁	丁
趣	走耳又
妖	女夭
束	木口
杂	九朩
诗	讠土寸
迎	{卬左}卩辶
舍	人舌
旧	丨日
彩	爪木彡
委	禾女
挂	扌土土
笔	竹毛
灣	氵言糸弓
狗	犭勹口
鲜	鱼羊
纸	纟{卬左}七
機	木幺幺人
抗	扌亠几
探	扌冖八木
韩	十早{奉下}乙
尼	尸匕
控	扌穴工
惜	忄龷日
珠	王牛八
抽	扌由
创	人㔾刂
归	リ彐
挺	扌壬廴
奋	大田
見	見
陪	阝立口
硬	石一日乂
避	尸口辛辶
园	囗一兀
托	扌丿七
训	讠川
勇	マ用力
聊	耳卯
奶	女乃
庄	广土
奔	大十廾
镇	钅十{具上}八
拳	丷夫手
采	爪木
研	石一廾
場	土日一{二撇}
配	酉己
介	人{介下}
尊	丷酉寸
冒	冂二目
虑	虍心
敬	艹勹口夊
丹	{周框}亠
舒	人舌予
蛋	乙龰虫
哼	口{京上}了
宋	宀木
济	氵文{介下}
問	門口
妇	女彐
箭	竹䒑月刂
择	扌又{奉下}
犯	犭㔾
欣	斤欠
甲	甲
欧	匚乂欠
课	讠日木
扑	扌卜
菲	艹非
燕	卄一口灬
曲	曲
躲	身几木
玄	亠幺
幻	幺乙
茶	艹人朩
折	扌斤
伊	亻彐丿
傻	亻{囟框}乂夊
姓	女生
源	氵厂白小
洛	氵夊口
遍	户冊辶
臣	臣
還	罒一口辶
弃	亠厶廾
犹	犭尤
占	⺊口
漂	氵西示
挑	扌儿冫{飞右}
获	艹犭犬
绿	纟彐水
峰	山夊丰
俊	亻厶八夊
疯	疒几乂
列	一夕刂
森	木木木
妻	十彐女
恋	亦心
误	讠口一大
拜	龵一丰
伟	亻{奉下}乙
移	禾夕夕
纳	纟冂人
党	尚儿
罢	罒土厶
腰	月西女
巧	工丂
孤	子瓜
闭	门{于下}丿
圆	囗口贝
碰	石䒑业
镜	钅立日儿
软	车欠
厚	厂日子
累	田糸
昨	日{乞上}{乍下}
幽	山幺幺
悲	非心
點	黑⺊口
丈	ナ乀
牌	片{卑上}十
降	阝夊㐄
颜	立丿彡页
劳	艹冖力
偏	亻户冊
省	小丿目
糊	米古月
馆	饣宀尸コ
烧	火七丿兀
谓	讠田月
财	贝{于下}丿
舰	舟见
汗	氵干
奈	大示
種	禾千里
操	扌口口木
迹	亦辶
風	風
